"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","CauseCat"
,"08","01","CSX","000041811",,,"","","08","01","CSX","000041811",,"","08","01","09",9.00,30.00,"AM","12",0.00,0.00,0.00,0.00,"GREAT LAKE","AVON","0009.0","18",40.00,"2","1","010","E","","3",0.00,"6","N","TRACK 15","1","000000","2","TIMX","291061","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"M407","",0.00,0.00,0.00,0.00,"M407","2","1","010",20000.00,,"18C097",0.00,"000000",0.00,"0","0","0","0","","","","","3","4",,"1L",,"GREAT","N",95.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"MARION","097","","","","N","",,"DURING HUMPING OPERATION, LOADED CARS CAME OUT OF HUMP AT EXCESSIVE SPEED AND STRUCK NRLX5331.#","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041811",,,"","","08","01","CSX","000041811",,"","08","01","09",9.00,30.00,"AM","12",0.00,0.00,0.00,0.00,"GREAT LAKE","AVON","0009.0","18",40.00,"2","1","000","E","","3",0.00,"5","N","TRACK 15","1","000000","2","NRLX","005331","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20000.00,0.00,"M407","",0.00,0.00,0.00,0.00,"M407","2","1","010",20000.00,,"18C097",0.00,"000000",0.00,"0","0","0","0","","","","","1","4",,"1L",,"GREAT","N",95.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"MARION","097","","","","N","",,"DURING HUMPING OPERATION, LOADED CARS CAME OUT OF HUMP AT EXCESSIVE SPEED AND STRUCK NRLX5331.#","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041882",,,"","","08","01","CSX","000041882",,"","08","01","14",12.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"C&O","RICHMOND","0083.6","51",45.00,"4","4","010","E","T732","3",18369.00,"1","Y","W01","1","000000","2","NYC","498250","017","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,41176.00,16000.00,"T220","",0.00,0.00,0.00,0.00,"T220","2","1","010",57176.00,,"51C760",0.00,"000000",0.00,"1","0","1","0","10","30","10","30","1","2",,"1L",,"C&O","E",71.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"RICHMOND","760","","","","N","",,"T73205 DERAILED CARS WHILE PULLING INTO TRACK W01 ACCOUNT BROKEN RAIL.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000041983",,,"","","08","01","CSX","000041983",,"","08","01","14",4.00,35.00,"PM","04",0.00,0.00,0.00,0.00,"JACKSONVILLE","WAYCROSS","0587.0","13",50.00,"2","1","004","R","Y290","4",0.00,"7","Y","YARD","1","000000","2","KCS","125644","005","Y","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11339.00,0.00,"H307","",0.00,0.00,0.00,0.00,"H307","2","1","004",15539.00,,"13C299",0.00,"000000",0.00,"1","0","1","0","02","05","02","05","3","3",,"1L",,"JACKSO","N",283.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"WARE","299","00","00","","N","",,"Y25414 MAKING A REVERSE MOVE, ENGINE LITE, FROM READY TRACK TO TRACK T04, STOPPED CLEAR OF T03 - T04","CROSSOVER WHILE Y29014 WAS SHOVING 8 CARS FROM T03 TO T04. WHILE Y25414 WAS ATTEMPTING TO PULL FORW","ARD THE SWITCHMAN FAILED TO PLACE THE OCU IN FORWARD AND BACKED INTO Y29014S CUT...","","","","","","","","","","","","","1",0.00,0.00,
,"08","01","CSX","000041983",,,"","","08","01","CSX","000041983",,"","08","01","14",4.00,35.00,"PM","04",0.00,0.00,0.00,0.00,"JACKSONVILLE","WAYCROSS","0587.0","13",50.00,"2","1","004","R","","4",0.00,"8","Y","YARD","1","000000","2","CSXT","008222","001","N","","","000","",1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,200.00,"H307","",0.00,0.00,0.00,0.00,"H307","2","1","004",15539.00,,"13C299",0.00,"000000",0.00,"1","0","1","0","","36","","36","1","3",,"1L",,"JACKSO","N",283.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"WARE","299","00","00","","N","",,"Y25414 MAKING A REVERSE MOVE, ENGINE LITE, FROM READY TRACK TO TRACK T04, STOPPED CLEAR OF T03 - T04","CROSSOVER WHILE Y29014 WAS SHOVING 8 CARS FROM T03 TO T04. WHILE Y25414 WAS ATTEMPTING TO PULL FORW","ARD THE SWITCHMAN FAILED TO PLACE THE OCU IN FORWARD AND BACKED INTO Y29014S CUT...","","","","","","","","","","","","","1",0.00,0.00,
,"08","01","CSX","000041984",,,"","","08","01","CSX","000041984",,"","08","01","14",4.00,55.00,"AM","01",3.00,0.00,0.00,0.00,"FLORENCE","FLORENCE","0286.0","45",58.00,"4","1","009","R","F748","2",6000.00,"1","Y","STONE SPUR","1","000000","2","CSXT","126341","038","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,23.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,40000.00,2500.00,"T101","",0.00,0.00,0.00,0.00,"T101","2","1","009",42500.00,,"45C041",0.00,"000000",0.00,"1","0","1","0","10","55","10","55","1","3",,"1L",,"FLOREN","N",103.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"FLORENCE","041","","","","N","",,"F74813 PULLING 82 CARS SOUTH ON THE STONE SPUR WHEN CAR ROCKED OFF THE TRACK RESULTING IN DERAILMENT",".**","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042059",,,"","","08","01","CSX","000042059",,"","08","01","14",11.00,15.00,"AM","03",0.00,0.00,0.00,0.00,"NON DIVISION","HOPE MILLS","0215.9","37",55.00,"2","1","000","E","","1",0.00,"A","Y","MAIN","4","000048","1","BR","200202","001","N","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"H997","",0.00,0.00,0.00,0.00,"H997","1","4","018",10000.00,,"37C051",0.00,"000000",0.00,"1","0","0","0","04","15","","","1","3",,"1L",,"NON DI","E",102.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"CUMBERLAND","051","","","","N","",,"BALLAST REGULATOR STOPPED TO START WORK WHEN MARK IV TAMPER FAILED TO STOP AND STRUCK THE REGULATOR.","**","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042059",,,"","","08","01","CSX","000042059",,"","08","01","14",11.00,15.00,"AM","03",0.00,0.00,0.00,0.00,"NON DIVISION","HOPE MILLS","0215.9","37",55.00,"2","1","018","E","","1",0.00,"A","Y","MAIN","4","000048","1","MT","200226","001","N","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,"H997","",0.00,0.00,0.00,0.00,"H997","1","4","018",10000.00,,"37C051",0.00,"000000",0.00,"1","0","0","0","04","15","","","3","3",,"1L",,"NON DI","E",102.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"CUMBERLAND","051","","","","N","",,"BALLAST REGULATOR STOPPED TO START WORK WHEN MARK IV TAMPER FAILED TO STOP AND STRUCK THE REGULATOR.","**","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042148",,,"","","08","01","NS","031576",,"","08","01","16",12.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"C&O","MORGANTOWN","0046.8","54",17.00,"4","6","024","R","N735","2",10140.00,"1","Y","MAIN","2","000115","1","VAPX","093469","008","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,683699.00,0.00,"T220","",0.00,0.00,0.00,0.00,"T220","1","2","024",703699.00,,"54C061",0.00,"000000",0.00,"1","0","1","0","06","","06","","1","2",,"1L",,"C&O","J",87.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"MONONGALIA","061","","","","N","",,"N73515 TRAVELING ON NORFOLK SOUTHERN RR SINGLE MAIN DERAILED CARS ACCOUNT BROKEN RAIL.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042230",,,"","","08","01","EARY","EARYID0800",,"","08","01","18",1.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"ATLANTA","TALLADEGA","0910.4","01",40.00,"2","1","006","R","A735","2",958.00,"1","Y","SOUTH LEG WYE","1","000046","3","HOKX","750106","010","Y","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,19.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,34826.00,0.00,"T112","",0.00,0.00,0.00,0.00,"T112","3","1","006",35626.00,,"01C121",0.00,"000000",0.00,"1","0","1","0","06","45","06","45","1","3",,"1L",,"ATLANT","N",52.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"TALLADEGA","121","","","","N","",,"A73513 DERAILED CARS ON MAINLINE ACCOUNT WIDE GAGE.^","","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042238",,,"","","08","01","CSX","000042238",,"","08","01","19",5.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"JACKSONVILLE","LAKELAND","0856.0","12",70.00,"3","2","005","E","Y291","2",0.00,"7","Y","YARD","1","000000","2","CSXT","502577","006","N","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,22.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,10820.00,3600.00,"H702","",0.00,0.00,0.00,0.00,"H702","2","1","005",14420.00,,"12C105",0.00,"000000",0.00,"1","0","1","0","02","15","02","15","1","3",,"1L",,"JACKSO","N",102.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"POLK","105","00","00","","N","",,"PULLED 28 CARS OFF TRACK 15 AND RAN THROUGH THE 26 SWITCH AND MADE A REVERSE MOVEMENT DERAILING CARS","..","","","","","","","","","","","","","","1",0.00,0.00,
,"08","01","CSX","000042308",,,"","","08","01","CSX","000042308",,"","08","01","22",1.00,50.00,"AM","12",0.00,0.00,0.00,0.00,"FLORENCE","CHARLESTON","0390.0","45",35.00,"4","2","000","E","","1",0.00,"5","N","M04 YARD PASS","1","000000","2","GATX","045756","001","N","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15992.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","008",15992.00,,"45C019",0.00,"000000",0.00,"0","0","0","0","","","","","3","3",,"1L",,"FLOREN","N",199.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"CHARLESTON","019","00","00","","N","",,"SETTING UP RCO ZONE WHEN RC TRAINMAN TOOK ENGINES TO COUPLE TO TRACK M04.  CARS WERE APPROXIMATELY 1","3 CAR LENGTHS AWAY.  RC TRAINMAN STATED HE PUT BOX INTO SPEED 10 AND ENGINES WOULD NOT SLOW DOWN.**","","","","","","","","","","","","","","0",0.00,0.00,
,"08","01","CSX","000042308",,,"","","08","01","CSX","000042308",,"","08","01","22",1.00,50.00,"AM","12",0.00,0.00,0.00,0.00,"FLORENCE","CHARLESTON","0390.0","45",35.00,"4","2","008","E","","1",0.00,"8","Y","M04 YARD PASS","1","000000","2","CSXT","008636","001","N","","","000","",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","008",15992.00,,"45C019",0.00,"000000",0.00,"1","0","1","0","02","20","02","20","1","3",,"1L",,"FLOREN","N",199.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"CHARLESTON","019","00","00","","N","",,"SETTING UP RCO ZONE WHEN RC TRAINMAN TOOK ENGINES TO COUPLE TO TRACK M04.  CARS WERE APPROXIMATELY 1","3 CAR LENGTHS AWAY.  RC TRAINMAN STATED HE PUT BOX INTO SPEED 10 AND ENGINES WOULD NOT SLOW DOWN.**","","","","","","","","","","","","","","3",0.00,0.00,
,"08","01","CSX","000042310",,,"","","08","01","CSX","000042310",,"","08","01","18",10.00,0.00,"AM","01",0.00,0.00,0.00,0.00,"NASHVILLE","MADISONVILLE","0277.0","21",35.00,"2","1","003","R","V550","2",10028.00,"1","Y","YARD","1","000000","2","TVAX","084117","067","Y","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,11000.00,900.00,"E99C","",0.00,0.00,0.00,0.00,"E99C","2","1","003",11900.00,,"21C107",0.00,"000000",0.00,"1","0","1","0","02","","02","","1","3",,"1L",,"NASHVI","N",114.00,,"2008",0.00,0.00,0.00,0.00,0.00,0.00,"HOPKINS","107","","","","N","",,"AIR HOSE FROM DUMPING SYSTEM BROKE LOOSE AND ONE OF THE HOSES BECAME WEDGED INTO THE FROG CAUSING CA","RS TO DERAIL..","","","","","","","","","","","","","","0",0.00,0.00,
